timeStamp	elapsed	label	responseCode	responseMessage	threadName	dataType	success	failureMessage	bytes	sentBytes	grpThreads	allThreads	Latency	IdleTime	Connect
1498036409429	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-1	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409467	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-2	text	false	Test failed: text expected to contain /百度一下/	1167	0	2	2	0	0	0
1498036409513	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-1	text	false	Test failed: text expected to contain /华商网/	1165	0	2	2	0	0	0
1498036409513	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-2	text	false	Test failed: text expected to contain /华商网/	1165	0	2	2	0	0	0
1498036409567	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-3	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409568	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-3	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036409668	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-4	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409668	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-4	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036409768	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-5	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409769	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-5	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036409868	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-6	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409869	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-6	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036409968	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-7	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036409969	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-7	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410069	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-8	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
