timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1498028005610,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-2,text,false,Test failed: text expected to contain /百度一下/,1167,0,2,2,0,0,0
1498028005610,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-1,text,false,Test failed: text expected to contain /百度一下/,1167,0,2,2,0,0,0
1498028005620,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-2,text,false,Test failed: text expected to contain /华商网/,1165,0,2,2,0,0,0
1498028005621,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-1,text,false,Test failed: text expected to contain /华商网/,1165,0,2,1,0,0,0
1498028005693,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-3,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028005694,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-3,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028005792,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-4,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028005794,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-4,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028005893,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-5,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028005893,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-5,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
